abordabas	abordabais
animabas	animabais
apoyabas	apoyabais
asumías	asumíais
aumentabas	aumentabais
buscabas	buscabais
cambiabas	cambiabais
conducías	conducíais
confirmabas	confirmabais
conocías	conocíais
considerabas	considerabais
creabas	creabais
discutías	discutíais
disfrutabas	disfrutabais
elaborabas	elaborabais
eliminabas	eliminabais
empezabas	empezabais
entendías	entendíais
escapabas	escapabais
estabas	estabais
estudiabas	estudiabais
evadías	evadíais
financiabas	financiabais
formulabas	formulabais
habías	habíais
integrabas	integrabais
limpiabas	limpiabais
llegabas	llegabais
llorabas	llorabais
lograbas	lograbais
luchabas	luchabais
mencionabas	mencionabais
morías	moríais
organizabas	organizabais
participabas	participabais
permitías	permitíais
podías	podíais
promovías	promovíais
realizabas	realizabais
recuperabas	recuperabais
salvabas	salvabais
satisfacías	satisfacíais
eras	erais
superabas	superabais
supervisabas	supervisabais
tenías	teníais
tomabas	tomabais
traías	traíais
veías	veíais
visitabas	visitabais
