administramos	administrarán
alentamos	alentarán
asumimos	asumirán
bailamos	bailarán
buscamos	buscarán
caminamos	caminarán
cerramos	cerrarán
conocimos	conocerán
conservamos	conservarán
consultamos	consultarán
continuamos	continuarán
coordinamos	coordinarán
cumplimos	cumplirán
defendimos	defenderán
describimos	describirán
destacamos	destacarán
ejecutamos	ejecutarán
eliminamos	eliminarán
escapamos	escaparán
escribimos	escribirán
establecimos	establecerán
examinamos	examinarán
fomentamos	fomentarán
habilitamos	habilitarán
integramos	integrarán
involucramos	involucrarán
fuimos	irán
limpiamos	limpiarán
llamamos	llamarán
mantuvimos	mantendrán
modificamos	modificarán
observamos	observarán
pasamos	pasarán
pedimos	pedirán
permitimos	permitirán
preservamos	preservarán
probamos	probarán
promocionamos	promocionarán
propusimos	propondrán
proporcionamos	proporcionarán
proveímos	proveerán
recuperamos	recuperarán
reemplazamos	reemplazarán
requerimos	requerirán
resolvimos	resolverán
respondimos	responderán
revisamos	revisarán
sacamos	sacarán
superamos	superarán
utilizamos	utilizarán
