abrió	abriría
alcanzó	alcanzaría
amplió	ampliaría
anunció	anunciaría
apoyó	apoyaría
aprobó	aprobaría
asumió	asumiría
atrajo	atraería
bebió	bebería
buscó	buscaría
celebró	celebraría
compró	compraría
confió	confiaría
construyó	construiría
controló	controlaría
creció	crecería
descargó	descargaría
describió	describiría
enseñó	enseñaría
estableció	establecería
estuvo	estaría
falló	fallaría
ganó	ganaría
habló	hablaría
hizo	haría
incluyó	incluiría
involucró	involucraría
fue	iría
jugó	jugaría
llamó	llamaría
llegó	llegaría
llevó	llevaría
mostró	mostraría
ofreció	ofrecería
oyó	oiría
pagó	pagaría
paró	pararía
pareció	parecería
previno	prevendría
produjo	produciría
publicó	publicaría
refirió	referiría
representó	representaría
respetó	respetaría
salió	saldría
satisfizo	satisfaría
siguió	seguiría
sintió	sentiría
solicitó	solicitaría
trajo	traería
