alcanzasteis	alcanzaréis
ampliasteis	ampliaréis
bebisteis	beberéis
casasteis	casaréis
comenzasteis	comenzaréis
compartisteis	compartiréis
comprasteis	compraréis
confiasteis	confiaréis
consististeis	consistiréis
consolidasteis	consolidaréis
corristeis	correréis
creasteis	crearéis
crecisteis	creceréis
decidisteis	decidiréis
definisteis	definiréis
desarrollasteis	desarrollaréis
destruisteis	destruiréis
ejercisteis	ejerceréis
elegisteis	elegiréis
entrasteis	entraréis
examinasteis	examinaréis
explorasteis	exploraréis
facilitasteis	facilitaréis
formulasteis	formularéis
funcionasteis	funcionaréis
gastasteis	gastaréis
generasteis	generaréis
gestionasteis	gestionaréis
identificasteis	identificaréis
intentasteis	intentaréis
leísteis	leeréis
limpiasteis	limpiaréis
luchasteis	lucharéis
matasteis	mataréis
organizasteis	organizaréis
pagasteis	pagaréis
probasteis	probaréis
promovisteis	promoveréis
propusisteis	propondréis
realizasteis	realizaréis
reconocisteis	reconoceréis
redujisteis	reduciréis
reemplazasteis	reemplazaréis
salisteis	saldréis
servisteis	serviréis
sufristeis	sufriréis
terminasteis	terminaréis
trabajasteis	trabajaréis
unisteis	uniréis
visitasteis	visitaréis
