aceleraríamos	acelerarían
adoptaríamos	adoptarían
agradeceríamos	agradecerían
animaríamos	animarían
anunciaríamos	anunciarían
asistiríamos	asistirían
beberíamos	beberían
cambiaríamos	cambiarían
casaríamos	casarían
comprenderíamos	comprenderían
confirmaríamos	confirmarían
creeríamos	creerían
demostraríamos	demostrarían
desarrollaríamos	desarrollarían
detendríamos	detendrían
disfrutaríamos	disfrutarían
elaboraríamos	elaborarían
elegiríamos	elegirían
estudiaríamos	estudiarían
evadiríamos	evadirían
evitaríamos	evitarían
expresaríamos	expresarían
firmaríamos	firmarían
gestionaríamos	gestionarían
impediríamos	impedirían
impondríamos	impondrían
incrementaríamos	incrementarían
indicaríamos	indicarían
iniciaríamos	iniciarían
iríamos	irían
limpiaríamos	limpiarían
llegaríamos	llegarían
miraríamos	mirarían
moriríamos	morirían
mostraríamos	mostrarían
oiríamos	oirían
pasaríamos	pasarían
pensaríamos	pensarían
prevendríamos	prevendrían
proveeríamos	proveerían
quedaríamos	quedarían
recuperaríamos	recuperarían
reduciríamos	reducirían
revisaríamos	revisarían
robaríamos	robarían
sobreviviríamos	sobrevivirían
sugeriríamos	sugerirían
trataríamos	tratarían
verificaríamos	verificarían
viviríamos	vivirían
