administráis	administrará
aprendéis	aprenderá
añadís	añadirá
casáis	casará
celebráis	celebrará
conocéis	conocerá
construís	construirá
contribuís	contribuirá
cooperáis	cooperará
coordináis	coordinará
demostráis	demostrará
ejecutáis	ejecutará
elegís	elegirá
elimináis	eliminará
entráis	entrará
enviáis	enviará
exploráis	explorará
expresáis	expresará
falláis	fallará
garantizáis	garantizará
habláis	hablará
identificáis	identificará
implicáis	implicará
incrementáis	incrementará
instaláis	instalará
vais	irá
manejáis	manejará
movéis	moverá
observáis	observará
olvidáis	olvidará
oís	oirá
pagáis	pagará
pensáis	pensará
perdéis	perderá
preserváis	preservará
probáis	probará
proporcionáis	proporcionará
recogéis	recogerá
recordáis	recordará
reemplazáis	reemplazará
relacionáis	relacionará
requerís	requerirá
respetáis	respetará
rompéis	romperá
salváis	salvará
seguís	seguirá
seleccionáis	seleccionará
superáis	superará
usáis	usará
visitáis	visitará
