accederá	accederán
añadirá	añadirán
cantará	cantarán
causará	causarán
conocerá	conocerán
consistirá	consistirán
consolidará	consolidarán
consultará	consultarán
continuará	continuarán
contribuirá	contribuirán
cubrirá	cubrirán
cuidará	cuidarán
desarrollará	desarrollarán
destruirá	destruirán
discutirá	discutirán
ejercerá	ejercerán
enfrentará	enfrentarán
estudiará	estudiarán
evaluará	evaluarán
explorará	explorarán
financiará	financiarán
firmará	firmarán
funcionará	funcionarán
ganará	ganarán
gestionará	gestionarán
habilitará	habilitarán
informará	informarán
investigará	investigarán
llegará	llegarán
mirará	mirarán
obtendrá	obtendrán
organizará	organizarán
permanecerá	permanecerán
podrá	podrán
preparará	prepararán
probará	probarán
producirá	producirán
realizará	realizarán
reconocerá	reconocerán
reforzará	reforzarán
representará	representarán
requerirá	requerirán
respetará	respetarán
responderá	responderán
sabrá	sabrán
será	serán
sufrirá	sufrirán
supervisará	supervisarán
tendrá	tendrán
usará	usarán
