acelerar	aceleraba
aceptar	aceptaba
acordar	acordaba
anunciar	anunciaba
aprovechar	aprovechaba
asumir	asumía
atender	atendía
atraer	atraía
causar	causaba
compartir	compartía
consistir	consistía
controlar	controlaba
cooperar	cooperaba
cubrir	cubría
depender	dependía
descargar	descargaba
enfrentar	enfrentaba
explorar	exploraba
financiar	financiaba
formular	formulaba
ganar	ganaba
guardar	guardaba
impedir	impedía
instalar	instalaba
intentar	intentaba
investigar	investigaba
mejorar	mejoraba
obtener	obtenía
pedir	pedía
pensar	pensaba
proporcionar	proporcionaba
recoger	recogía
recordar	recordaba
reemplazar	reemplazaba
requerir	requería
revisar	revisaba
romper	rompía
seguir	seguía
sentar	sentaba
ser	era
servir	servía
sufrir	sufría
tomar	tomaba
traer	traía
unir	unía
usar	usaba
utilizar	utilizaba
vender	vendía
visitar	visitaba
volver	volvía
