abandonará	abandonarías
acelerará	acelerarías
acordará	acordarías
agradecerá	agradecerías
caerá	caerías
cambiará	cambiarías
cantará	cantarías
compartirá	compartirías
comprará	comprarías
confirmará	confirmarías
consolidará	consolidarías
construirá	construirías
descargará	descargarías
desempeñará	desempeñarías
destruirá	destruirías
discutirá	discutirías
dormirá	dormirías
empezará	empezarías
encontrará	encontrarías
enviará	enviarías
escuchará	escucharías
establecerá	establecerías
estará	estarías
evaluará	evaluarías
formará	formarías
fortalecerá	fortalecerías
gestionará	gestionarías
impedirá	impedirías
incorporará	incorporarías
incrementará	incrementarías
indicará	indicarías
introducirá	introducirías
involucrará	involucrarías
jugará	jugarías
necesitará	necesitarías
observará	observarías
ocurrirá	ocurrirías
participará	participarías
pensará	pensarías
pondrá	pondrías
proporcionará	proporcionarías
reducirá	reducirías
regresará	regresarías
relacionará	relacionarías
romperá	romperías
solicitará	solicitarías
sumará	sumarías
terminará	terminarías
usará	usarías
volará	volarías
