abandonaremos	abandonaría
atraeremos	atraería
aumentaremos	aumentaría
cambiaremos	cambiaría
comeremos	comería
concluiremos	concluiría
confiaremos	confiaría
consideraremos	consideraría
consultaremos	consultaría
coordinaremos	coordinaría
crearemos	crearía
cumpliremos	cumpliría
defenderemos	defendería
dejaremos	dejaría
describiremos	describiría
ejecutaremos	ejecutaría
encontraremos	encontraría
escribiremos	escribiría
esperaremos	esperaría
estaremos	estaría
exploraremos	exploraría
fallaremos	fallaría
fortaleceremos	fortalecería
funcionaremos	funcionaría
garantizaremos	garantizaría
gastaremos	gastaría
guardaremos	guardaría
habremos	habría
haremos	haría
indicaremos	indicaría
iniciaremos	iniciaría
limpiaremos	limpiaría
lograremos	lograría
mejoraremos	mejoraría
observaremos	observaría
pararemos	pararía
pareceremos	parecería
participaremos	participaría
permitiremos	permitiría
pondremos	pondría
preguntaremos	preguntaría
proporcionaremos	proporcionaría
relacionaremos	relacionaría
romperemos	rompería
sacaremos	sacaría
saldremos	saldría
sugeriremos	sugeriría
terminaremos	terminaría
veremos	vería
volveremos	volvería
