abrieron	abrirían
actuaron	actuarían
ampliaron	ampliarían
analizaron	analizarían
aprobaron	aprobarían
atrajeron	atraerían
cantaron	cantarían
cerraron	cerrarían
comprendieron	comprenderían
confirmaron	confirmarían
consistieron	consistirían
contribuyeron	contribuirían
coordinaron	coordinarían
dieron	darían
definieron	definirían
desempeñaron	desempeñarían
destacaron	destacarían
elaboraron	elaborarían
enviaron	enviarían
escaparon	escaparían
fallaron	fallarían
formaron	formarían
incrementaron	incrementarían
intentaron	intentarían
fueron	irían
lucharon	lucharían
mencionaron	mencionarían
miraron	mirarían
necesitaron	necesitarían
ofrecieron	ofrecerían
organizaron	organizarían
oyeron	oirían
pagaron	pagarían
pensaron	pensarían
permanecieron	permanecerían
pusieron	pondrían
previnieron	prevendrían
salvaron	salvarían
satisficieron	satisfarían
siguieron	seguirían
fueron	serían
sobrevivieron	sobrevivirían
solicitaron	solicitarían
terminaron	terminarían
tomaron	tomarían
trabajaron	trabajarían
trajeron	traerían
vendieron	venderían
viajaron	viajarían
volvieron	volverían
