alcanzando	alcanzaríais
ampliando	ampliaríais
aplicando	aplicaríais
asumiendo	asumiríais
atrayendo	atraeríais
bebiendo	beberíais
causando	causaríais
combatiendo	combatiríais
comenzando	comenzaríais
comprendiendo	comprenderíais
conduciendo	conduciríais
consiguiendo	conseguiríais
controlando	controlaríais
diciendo	diríais
dejando	dejaríais
dependiendo	dependeríais
describiendo	describiríais
dirigiendo	dirigiríais
discutiendo	discutiríais
ejecutando	ejecutaríais
elaborando	elaboraríais
eligiendo	elegiríais
empezando	empezaríais
encontrando	encontraríais
enfrentando	enfrentaríais
existiendo	existiríais
formando	formaríais
funcionando	funcionaríais
haciendo	haríais
identificando	identificaríais
iniciando	iniciaríais
jugando	jugaríais
leyendo	leeríais
logrando	lograríais
mencionando	mencionaríais
moviendo	moveríais
olvidando	olvidaríais
operando	operaríais
pagando	pagaríais
preparando	prepararíais
prestando	prestaríais
realizando	realizaríais
reemplazando	reemplazaríais
regresando	regresaríais
respondiendo	responderíais
viendo	veríais
verificando	verificaríais
viviendo	viviríais
volviendo	volveríais
votando	votaríais
