abordar	abordarán
acordar	acordarán
administrar	administrarán
agradecer	agradecerán
animar	animarán
aparecer	aparecerán
aprovechar	aprovecharán
asegurar	asegurarán
avanzar	avanzarán
averiguar	averiguarán
causar	causarán
celebrar	celebrarán
comprar	comprarán
confiar	confiarán
conocer	conocerán
considerar	considerarán
contar	contarán
contener	contendrán
correr	correrán
crear	crearán
creer	creerán
cumplir	cumplirán
elegir	elegirán
encontrar	encontrarán
entrar	entrarán
existir	existirán
fortalecer	fortalecerán
generar	generarán
habilitar	habilitarán
imponer	impondrán
incorporar	incorporarán
informar	informarán
iniciar	iniciarán
introducir	introducirán
luchar	lucharán
pensar	pensarán
permanecer	permanecerán
promover	promoverán
quedar	quedarán
recibir	recibirán
reconocer	reconocerán
referir	referirán
relacionar	relacionarán
resolver	resolverán
sentir	sentirán
señalar	señalarán
sumar	sumarán
traer	traerán
venir	vendrán
viajar	viajarán
