accedía	accedieron
adquiría	adquirieron
animaba	animaron
aprobaba	aprobaron
averiguaba	averiguaron
buscaba	buscaron
causaba	causaron
confiaba	confiaron
confirmaba	confirmaron
conocía	conocieron
conservaba	conservaron
cubría	cubrieron
decía	dijeron
desarrollaba	desarrollaron
descubría	descubrieron
desempeñaba	desempeñaron
destruía	destruyeron
dirigía	dirigieron
discutía	discutieron
eliminaba	eliminaron
entendía	entendieron
estudiaba	estudiaron
existía	existieron
fallaba	fallaron
financiaba	financiaron
ganaba	ganaron
gestionaba	gestionaron
incorporaba	incorporaron
instalaba	instalaron
invertía	invirtieron
limitaba	limitaron
llegaba	llegaron
mantenía	mantuvieron
mejoraba	mejoraron
mencionaba	mencionaron
ocurría	ocurrieron
pedía	pidieron
preparaba	prepararon
protegía	protegieron
reducía	redujeron
reemplazaba	reemplazaron
resolvía	resolvieron
robaba	robaron
rompía	rompieron
seguía	siguieron
era	fueron
sumaba	sumaron
supervisaba	supervisaron
unía	unieron
votaba	votaron
