accedisteis	accederé
agradecisteis	agradeceré
ampliasteis	ampliaré
apoyasteis	apoyaré
aprendisteis	aprenderé
aprovechasteis	aprovecharé
casasteis	casaré
comprendisteis	comprenderé
condujisteis	conduciré
consolidasteis	consolidaré
consultasteis	consultaré
continuasteis	continuaré
contribuisteis	contribuiré
cortasteis	cortaré
crecisteis	creceré
creísteis	creeré
disteis	daré
dejasteis	dejaré
desarrollasteis	desarrollaré
describisteis	describiré
dirigisteis	dirigiré
discutisteis	discutiré
ejercisteis	ejerceré
eliminasteis	eliminaré
esperasteis	esperaré
evaluasteis	evaluaré
financiasteis	financiaré
formasteis	formaré
fortalecisteis	fortaleceré
gastasteis	gastaré
gestionasteis	gestionaré
guardasteis	guardaré
hicisteis	haré
informasteis	informaré
manejasteis	manejaré
mencionasteis	mencionaré
ofrecisteis	ofreceré
pensasteis	pensaré
preparasteis	prepararé
prestasteis	prestaré
proporcionasteis	proporcionaré
protegisteis	protegeré
representasteis	representaré
sobrevivisteis	sobreviviré
sufristeis	sufriré
tomasteis	tomaré
tratasteis	trataré
vinisteis	vendré
verificasteis	verificaré
vivisteis	viviré
