alcanzando	alcanzabas
animando	animabas
aprendiendo	aprendías
aprobando	aprobabas
asegurando	asegurabas
cayendo	caías
cambiando	cambiabas
caminando	caminabas
causando	causabas
combatiendo	combatías
confiando	confiabas
considerando	considerabas
contribuyendo	contribuías
convirtiendo	convertías
creciendo	crecías
cumpliendo	cumplías
dependiendo	dependías
descubriendo	descubrías
designando	designabas
destacando	destacabas
determinando	determinabas
discutiendo	discutías
escribiendo	escribías
evaluando	evaluabas
facilitando	facilitabas
firmando	firmabas
funcionando	funcionabas
guardando	guardabas
impidiendo	impedías
incorporando	incorporabas
indicando	indicabas
informando	informabas
invirtiendo	invertías
llamando	llamabas
llevando	llevabas
logrando	lograbas
manteniendo	mantenías
midiendo	medías
mostrando	mostrabas
moviendo	movías
necesitando	necesitabas
ofreciendo	ofrecías
olvidando	olvidabas
organizando	organizabas
preparando	preparabas
sabiendo	sabías
sacando	sacabas
tocando	tocabas
viendo	veías
volando	volabas
