anima	animé
asegura	aseguré
causa	causé
cierra	cerré
completa	completé
comprende	comprendí
conduce	conduje
conserva	conservé
construye	construí
contiene	contuve
corre	corrí
describe	describí
designa	designé
determina	determiné
escapa	escapé
escribe	escribí
establece	establecí
estudia	estudié
explica	expliqué
financia	financié
garantiza	garanticé
ha(impersonal:hay)	hube
incrementa	incrementé
informa	informé
intenta	intenté
introduce	introduje
limita	limité
limpia	limpié
maneja	manejé
muere	morí
observa	observé
pasa	pasé
permite	permití
proporciona	proporcioné
protege	protegí
queda	quedé
realiza	realicé
recuerda	recordé
refiere	referí
respeta	respeté
responde	respondí
salva	salvé
sigue	seguí
selecciona	seleccioné
sugiere	sugerí
tiene	tuve
trae	traje
visita	visité
vive	viví
vuela	volé
