abandonaban	abandonaríais
abrían	abriríais
adoptaban	adoptaríais
aprendían	aprenderíais
aumentaban	aumentaríais
ayudaban	ayudaríais
bailaban	bailaríais
cambiaban	cambiaríais
cantaban	cantaríais
cerraban	cerraríais
combatían	combatiríais
concluían	concluiríais
contaban	contaríais
cortaban	cortaríais
crecían	creceríais
decidían	decidiríais
descargaban	descargaríais
describían	describiríais
destacaban	destacaríais
escribían	escribiríais
esperaban	esperaríais
estudiaban	estudiaríais
evaluaban	evaluaríais
financiaban	financiaríais
formulaban	formularíais
ganaban	ganaríais
habían	habríais
habilitaban	habilitaríais
hablaban	hablaríais
indicaban	indicaríais
informaban	informaríais
manejaban	manejaríais
medían	mediríais
mejoraban	mejoraríais
ocurrían	ocurriríais
participaban	participaríais
pedían	pediríais
preservaban	preservaríais
proponían	propondríais
recogían	recogeríais
recuperaban	recuperaríais
reemplazaban	reemplazaríais
resolvían	resolveríais
revisaban	revisaríais
sobrevivían	sobreviviríais
sumaban	sumaríais
tenían	tendríais
utilizaban	utilizaríais
viajaban	viajaríais
volaban	volaríais
