abrían	abrieron
aceptaban	aceptaron
alentaban	alentaron
aseguraban	aseguraron
asumían	asumieron
atraían	atrajeron
aumentaban	aumentaron
ayudaban	ayudaron
causaban	causaron
cerraban	cerraron
comían	comieron
completaban	completaron
conseguían	consiguieron
conservaban	conservaron
construían	construyeron
describían	describieron
detenían	detuvieron
dormían	durmieron
elaboraban	elaboraron
entendían	entendieron
fallaban	fallaron
financiaban	financiaron
funcionaban	funcionaron
gastaban	gastaron
gestionaban	gestionaron
guardaban	guardaron
impedían	impidieron
imponían	impusieron
incluían	incluyeron
iban	fueron
leían	leyeron
luchaban	lucharon
mataban	mataron
mejoraban	mejoraron
movían	movieron
observaban	observaron
paraban	pararon
pasaban	pasaron
perdían	perdieron
preparaban	prepararon
producían	produjeron
recibían	recibieron
reforzaban	reforzaron
rompían	rompieron
sabían	supieron
sobrevivían	sobrevivieron
supervisaban	supervisaron
tocaban	tocaron
vendían	vendieron
viajaban	viajaron
