adquiere	adquiría
asiste	asistía
cambia	cambiaba
canta	cantaba
comienza	comenzaba
conduce	conducía
continúa	continuaba
coordina	coordinaba
dice	decía
depende	dependía
descarga	descargaba
describe	describía
determina	determinaba
dirige	dirigía
discute	discutía
duerme	dormía
elabora	elaboraba
enfrenta	enfrentaba
escapa	escapaba
escucha	escuchaba
espera	esperaba
evade	evadía
examina	examinaba
existe	existía
formula	formulaba
garantiza	garantizaba
implica	implicaba
incrementa	incrementaba
inicia	iniciaba
instala	instalaba
invierte	invertía
investiga	investigaba
lee	leía
llora	lloraba
localiza	localizaba
mira	miraba
necesita	necesitaba
olvida	olvidaba
parece	parecía
parte	partía
presta	prestaba
publica	publicaba
reconoce	reconocía
sabe	sabía
sale	salía
sugiere	sugería
tiene	tenía
toca	tocaba
utiliza	utilizaba
viene	venía
