abordamos	abordaré
animamos	animaré
casamos	casaré
compartimos	compartiré
completamos	completaré
construimos	construiré
controlamos	controlaré
cooperamos	cooperaré
dimos	daré
dijimos	diré
describimos	describiré
descubrimos	descubriré
designamos	designaré
enviamos	enviaré
establecimos	estableceré
estudiamos	estudiaré
evitamos	evitaré
examinamos	examinaré
existimos	existiré
fallamos	fallaré
formulamos	formularé
funcionamos	funcionaré
garantizamos	garantizaré
hubimos	habré
hablamos	hablaré
incorporamos	incorporaré
indicamos	indicaré
informamos	informaré
integramos	integraré
introdujimos	introduciré
limitamos	limitaré
llevamos	llevaré
localizamos	localizaré
mantuvimos	mantendré
mencionamos	mencionaré
movimos	moveré
operamos	operaré
parecimos	pareceré
preguntamos	preguntaré
prestamos	prestaré
recogimos	recogeré
recuperamos	recuperaré
sacamos	sacaré
salvamos	salvaré
sentimos	sentiré
sobrevivimos	sobreviviré
vinimos	vendré
verificamos	verificaré
visitamos	visitaré
volvimos	volveré
