ampliaban	ampliaríamos
aseguraban	aseguraríamos
cantaban	cantaríamos
celebraban	celebraríamos
compraban	compraríamos
confiaban	confiaríamos
conseguían	conseguiríamos
construían	construiríamos
contaban	contaríamos
cooperaban	cooperaríamos
crecían	creceríamos
desarrollaban	desarrollaríamos
dirigían	dirigiríamos
ejecutaban	ejecutaríamos
elegían	elegiríamos
escribían	escribiríamos
esperaban	esperaríamos
evaluaban	evaluaríamos
exploraban	exploraríamos
facilitaban	facilitaríamos
fomentaban	fomentaríamos
funcionaban	funcionaríamos
garantizaban	garantizaríamos
generaban	generaríamos
habían	habríamos
hablaban	hablaríamos
hacían	haríamos
instalaban	instalaríamos
invertían	invertiríamos
limpiaban	limpiaríamos
llegaban	llegaríamos
mejoraban	mejoraríamos
obtenían	obtendríamos
ofrecían	ofreceríamos
operaban	operaríamos
organizaban	organizaríamos
permanecían	permaneceríamos
ponían	pondríamos
producían	produciríamos
proporcionaban	proporcionaríamos
reconocían	reconoceríamos
relacionaban	relacionaríamos
rompían	romperíamos
salvaban	salvaríamos
seguían	seguiríamos
tocaban	tocaríamos
trabajaban	trabajaríamos
trataban	trataríamos
usaban	usaríamos
utilizaban	utilizaríamos
