accediendo	accedía
acelerando	aceleraba
animando	animaba
asistiendo	asistía
asumiendo	asumía
atendiendo	atendía
atrayendo	atraía
ayudando	ayudaba
cayendo	caía
cambiando	cambiaba
cantando	cantaba
causando	causaba
cerrando	cerraba
comiendo	comía
comprendiendo	comprendía
comprobando	comprobaba
conociendo	conocía
consiguiendo	conseguía
considerando	consideraba
consolidando	consolidaba
construyendo	construía
descargando	descargaba
dirigiendo	dirigía
disfrutando	disfrutaba
durmiendo	dormía
elaborando	elaboraba
encontrando	encontraba
evaluando	evaluaba
fortaleciendo	fortalecía
garantizando	garantizaba
gastando	gastaba
habiendo	había
imaginando	imaginaba
implicando	implicaba
incorporando	incorporaba
informando	informaba
limitando	limitaba
localizando	localizaba
manteniendo	mantenía
mirando	miraba
muriendo	moría
necesitando	necesitaba
ofreciendo	ofrecía
parando	paraba
preparando	preparaba
presentando	presentaba
recogiendo	recogía
reforzando	reforzaba
robando	robaba
votando	votaba
