administraste	administraremos
adoptaste	adoptaremos
adquiriste	adquiriremos
agradeciste	agradeceremos
ampliaste	ampliaremos
asististe	asistiremos
atrajiste	atraeremos
bailaste	bailaremos
caminaste	caminaremos
confiaste	confiaremos
contuviste	contendremos
contribuiste	contribuiremos
corriste	correremos
creaste	crearemos
descubriste	descubriremos
destacaste	destacaremos
destruiste	destruiremos
discutiste	discutiremos
eliminaste	eliminaremos
entendiste	entenderemos
escuchaste	escucharemos
estableciste	estableceremos
estuviste	estaremos
evadiste	evadiremos
imaginaste	imaginaremos
incluiste	incluiremos
incorporaste	incorporaremos
limitaste	limitaremos
limpiaste	limpiaremos
llevaste	llevaremos
localizaste	localizaremos
mantuviste	mantendremos
mejoraste	mejoraremos
mencionaste	mencionaremos
moriste	moriremos
operaste	operaremos
pudiste	podremos
preservaste	preservaremos
previniste	prevendremos
proporcionaste	proporcionaremos
robaste	robaremos
sacaste	sacaremos
salvaste	salvaremos
seleccionaste	seleccionaremos
sentiste	sentiremos
sufriste	sufriremos
sumaste	sumaremos
tomaste	tomaremos
uniste	uniremos
volaste	volaremos
