abrir	abrimos
aprender	aprendemos
atender	atendemos
aumentar	aumentamos
avanzar	avanzamos
añadir	añadimos
casar	casamos
combatir	combatimos
comenzar	comenzamos
confirmar	confirmamos
contener	contenemos
convertir	convertimos
coordinar	coordinamos
crecer	crecemos
creer	creemos
descargar	descargamos
descubrir	descubrimos
destacar	destacamos
disfrutar	disfrutamos
elegir	elegimos
esperar	esperamos
estar	estamos
estudiar	estudiamos
examinar	examinamos
introducir	introducimos
leer	leemos
limpiar	limpiamos
lograr	logramos
mover	movemos
obtener	obtenemos
participar	participamos
poner	ponemos
prestar	prestamos
promocionar	promocionamos
proteger	protegemos
publicar	publicamos
quedar	quedamos
reconocer	reconocemos
referir	referimos
requerir	requerimos
robar	robamos
salvar	salvamos
ser	somos
sufrir	sufrimos
sumar	sumamos
tratar	tratamos
utilizar	utilizamos
venir	venimos
vivir	vivimos
volar	volamos
