abandona	abandonó
aborda	abordó
accede	accedió
acepta	aceptó
amplía	amplió
asegura	aseguró
cambia	cambió
camina	caminó
canta	cantó
causa	causó
confía	confió
conserva	conservó
consiste	consistió
construye	construyó
continúa	continuó
coopera	cooperó
crea	creó
define	definió
deja	dejó
destaca	destacó
ejecuta	ejecutó
elabora	elaboró
elimina	eliminó
enseña	enseñó
entiende	entendió
entra	entró
fomenta	fomentó
gasta	gastó
genera	generó
ha(impersonal:hay)	hubo
impide	impidió
incrementa	incrementó
inicia	inició
integra	integró
investiga	investigó
localiza	localizó
mata	mató
ofrece	ofreció
organiza	organizó
participa	participó
pierde	perdió
permite	permitió
pone	puso
realiza	realizó
señala	señaló
sobrevive	sobrevivió
toma	tomó
usa	usó
vive	vivió
vota	votó
