accedo	accederíamos
administro	administraríamos
adquiero	adquiriríamos
aliento	alentaríamos
aprovecho	aprovecharíamos
camino	caminaríamos
celebro	celebraríamos
cierro	cerraríamos
compro	compraríamos
conozco	conoceríamos
considero	consideraríamos
contengo	contendríamos
corro	correríamos
cumplo	cumpliríamos
defiendo	defenderíamos
entiendo	entenderíamos
financio	financiaríamos
firmo	firmaríamos
hablo	hablaríamos
implico	implicaríamos
incorporo	incorporaríamos
invierto	invertiríamos
juego	jugaríamos
llamo	llamaríamos
lucho	lucharíamos
mido	mediríamos
menciono	mencionaríamos
miro	miraríamos
necesito	necesitaríamos
organizo	organizaríamos
oigo	oiríamos
paro	pararíamos
participo	participaríamos
presto	prestaríamos
promuevo	promoveríamos
proporciono	proporcionaríamos
proveo	proveeríamos
quedo	quedaríamos
realizo	realizaríamos
recuerdo	recordaríamos
regreso	regresaríamos
respeto	respetaríamos
salgo	saldríamos
sufro	sufriríamos
supero	superaríamos
trabajo	trabajaríamos
uno	uniríamos
verifico	verificaríamos
viajo	viajaríamos
visito	visitaríamos
