adquiriendo	adquiría
agradeciendo	agradecía
anunciando	anunciaba
apareciendo	aparecía
aplicando	aplicaba
aprendiendo	aprendía
aprobando	aprobaba
asumiendo	asumía
ayudando	ayudaba
bailando	bailaba
causando	causaba
concluyendo	concluía
confiando	confiaba
contando	contaba
cooperando	cooperaba
creando	creaba
creciendo	crecía
diciendo	decía
descargando	descargaba
deteniendo	detenía
elaborando	elaboraba
eligiendo	elegía
enfrentando	enfrentaba
entrando	entraba
esperando	esperaba
estableciendo	establecía
examinando	examinaba
expresando	expresaba
funcionando	funcionaba
gastando	gastaba
identificando	identificaba
incorporando	incorporaba
invirtiendo	invertía
manteniendo	mantenía
midiendo	medía
muriendo	moría
operando	operaba
organizando	organizaba
participando	participaba
perdiendo	perdía
poniendo	ponía
preparando	preparaba
publicando	publicaba
respondiendo	respondía
robando	robaba
rompiendo	rompía
sugiriendo	sugería
tocando	tocaba
vendiendo	vendía
volando	volaba
