abre	abrió
accede	accedió
actúa	actuó
administra	administró
alienta	alentó
analiza	analizó
aplica	aplicó
averigua	averiguó
añade	añadió
baila	bailó
cae	cayó
camina	caminó
completa	completó
comprende	comprendió
conduce	condujo
continúa	continuó
coopera	cooperó
coordina	coordinó
cree	creyó
cubre	cubrió
desarrolla	desarrolló
dirige	dirigió
enfrenta	enfrentó
entra	entró
financia	financió
firma	firmó
identifica	identificó
introduce	introdujo
involucra	involucró
juega	jugó
lleva	llevó
maneja	manejó
mata	mató
mejora	mejoró
necesita	necesitó
para	paró
pasa	pasó
pierde	perdió
propone	propuso
publica	publicó
realiza	realizó
recuerda	recordó
sale	salió
siente	sintió
soporta	soportó
supervisa	supervisó
trabaja	trabajó
utiliza	utilizó
viaja	viajó
vuelve	volvió
