abandonasteis	abandonaríais
anunciasteis	anunciaríais
aprovechasteis	aprovecharíais
asegurasteis	aseguraríais
avanzasteis	avanzaríais
buscasteis	buscaríais
celebrasteis	celebraríais
continuasteis	continuaríais
controlasteis	controlaríais
convertisteis	convertiríais
coordinasteis	coordinaríais
cortasteis	cortaríais
crecisteis	creceríais
disteis	daríais
defendisteis	defenderíais
desarrollasteis	desarrollaríais
destruisteis	destruiríais
determinasteis	determinaríais
dirigisteis	dirigiríais
discutisteis	discutiríais
disfrutasteis	disfrutaríais
elaborasteis	elaboraríais
enfrentasteis	enfrentaríais
examinasteis	examinaríais
expresasteis	expresaríais
fallasteis	fallaríais
impedisteis	impediríais
implicasteis	implicaríais
iniciasteis	iniciaríais
instalasteis	instalaríais
integrasteis	integraríais
jugasteis	jugaríais
limpiasteis	limpiaríais
llorasteis	lloraríais
mejorasteis	mejoraríais
mirasteis	miraríais
movisteis	moveríais
pagasteis	pagaríais
pasasteis	pasaríais
pensasteis	pensaríais
pusisteis	pondríais
recibisteis	recibiríais
recordasteis	recordaríais
reforzasteis	reforzaríais
resolvisteis	resolveríais
sobrevivisteis	sobreviviríais
soportasteis	soportaríais
sufristeis	sufriríais
sugeristeis	sugeriríais
vivisteis	viviríais
