adquieren	adquirirían
aparecen	aparecerían
avanzan	avanzarían
beben	beberían
caen	caerían
cambian	cambiarían
cierran	cerrarían
completan	completarían
confirman	confirmarían
consolidan	consolidarían
cuentan	contarían
cooperan	cooperarían
cubren	cubrirían
dan	darían
dicen	dirían
dejan	dejarían
descargan	descargarían
detienen	detendrían
entienden	entenderían
esperan	esperarían
establecen	establecerían
expresan	expresarían
habilitan	habilitarían
imponen	impondrían
investigan	investigarían
limitan	limitarían
lloran	llorarían
manejan	manejarían
miran	mirarían
ocurren	ocurrirían
pagan	pagarían
parecen	parecerían
pierden	perderían
permanecen	permanecerían
preguntan	preguntarían
preparan	prepararían
promocionan	promocionarían
promueven	promoverían
proveen	proveerían
publican	publicarían
quedan	quedarían
regresan	regresarían
resuelven	resolverían
saben	sabrían
toman	tomarían
venden	venderían
vienen	vendrían
ven	verían
verifican	verificarían
votan	votarían
