abandonarás	abandonaremos
agradecerás	agradeceremos
animarás	animaremos
anunciarás	anunciaremos
aplicarás	aplicaremos
aprovecharás	aprovecharemos
asistirás	asistiremos
asumirás	asumiremos
beberás	beberemos
buscarás	buscaremos
celebrarás	celebraremos
compartirás	compartiremos
conseguirás	conseguiremos
cortarás	cortaremos
creerás	creeremos
cuidarás	cuidaremos
dirás	diremos
descubrirás	descubriremos
designarás	designaremos
dirigirás	dirigiremos
disfrutarás	disfrutaremos
ejercerás	ejerceremos
elaborarás	elaboraremos
evaluarás	evaluaremos
evitarás	evitaremos
examinarás	examinaremos
firmarás	firmaremos
fomentarás	fomentaremos
formularás	formularemos
impedirás	impediremos
implicarás	implicaremos
introducirás	introduciremos
involucrarás	involucraremos
irás	iremos
llorarás	lloraremos
manejarás	manejaremos
medirás	mediremos
mostrarás	mostraremos
ofrecerás	ofreceremos
pagarás	pagaremos
pasarás	pasaremos
pondrás	pondremos
sabrás	sabremos
servirás	serviremos
señalarás	señalaremos
sumarás	sumaremos
tratarás	trataremos
viajarás	viajaremos
visitarás	visitaremos
volarás	volaremos
