abandonarás	abandonaría
acordarás	acordaría
agradecerás	agradecería
ampliarás	ampliaría
animarás	animaría
anunciarás	anunciaría
añadirás	añadiría
causarás	causaría
cerrarás	cerraría
comenzarás	comenzaría
comerás	comería
consultarás	consultaría
contarás	contaría
creerás	creería
dejarás	dejaría
enseñarás	enseñaría
entrarás	entraría
escaparás	escaparía
escribirás	escribiría
evadirás	evadiría
explorarás	exploraría
financiarás	financiaría
funcionarás	funcionaría
gestionarás	gestionaría
hablarás	hablaría
incluirás	incluiría
intentarás	intentaría
invertirás	invertiría
limpiarás	limpiaría
llamarás	llamaría
localizarás	localizaría
mencionarás	mencionaría
mostrarás	mostraría
ofrecerás	ofrecería
partirás	partiría
pedirás	pediría
probarás	probaría
promoverás	promovería
proporcionarás	proporcionaría
reducirás	reduciría
referirás	referiría
requerirás	requeriría
robarás	robaría
romperás	rompería
saldrás	saldría
sentarás	sentaría
sugerirás	sugeriría
tocarás	tocaría
unirás	uniría
volarás	volaría
