aceptaba	aceptaréis
alcanzaba	alcanzaréis
alentaba	alentaréis
animaba	animaréis
aparecía	apareceréis
apoyaba	apoyaréis
aprovechaba	aprovecharéis
cantaba	cantaréis
casaba	casaréis
cerraba	cerraréis
comprobaba	comprobaréis
confiaba	confiaréis
conocía	conoceréis
conseguía	conseguiréis
demostraba	demostraréis
dependía	dependeréis
destacaba	destacaréis
dormía	dormiréis
eliminaba	eliminaréis
empezaba	empezaréis
escribía	escribiréis
estaba	estaréis
evitaba	evitaréis
fomentaba	fomentaréis
formulaba	formularéis
garantizaba	garantizaréis
habilitaba	habilitaréis
hacía	haréis
iniciaba	iniciaréis
intentaba	intentaréis
introducía	introduciréis
invertía	invertiréis
limitaba	limitaréis
llamaba	llamaréis
lograba	lograréis
moría	moriréis
necesitaba	necesitaréis
pasaba	pasaréis
ponía	pondréis
promocionaba	promocionaréis
proveía	proveeréis
recibía	recibiréis
reconocía	reconoceréis
respondía	responderéis
sentaba	sentaréis
solicitaba	solicitaréis
sufría	sufriréis
supervisaba	supervisaréis
tenía	tendréis
venía	vendréis
