aceptar	aceptáis
analizar	analizáis
animar	animáis
aparecer	aparecéis
aplicar	aplicáis
celebrar	celebráis
comenzar	comenzáis
confirmar	confirmáis
conocer	conocéis
conservar	conserváis
considerar	consideráis
consolidar	consolidáis
contribuir	contribuís
correr	corréis
creer	creéis
decidir	decidís
decir	decís
desarrollar	desarrolláis
escapar	escapáis
evitar	evitáis
explicar	explicáis
facilitar	facilitáis
financiar	financiáis
firmar	firmáis
fomentar	fomentáis
haber	habéis
identificar	identificáis
imaginar	imagináis
incrementar	incrementáis
llorar	lloráis
manejar	manejáis
modificar	modificáis
ofrecer	ofrecéis
pasar	pasáis
permitir	permitís
preguntar	preguntáis
preparar	preparáis
presentar	presentáis
promover	promovéis
proteger	protegéis
proveer	proveéis
quedar	quedáis
recibir	recibís
referir	referís
reforzar	reforzáis
robar	robáis
usar	usáis
vivir	vivís
volar	voláis
votar	votáis
