abandonan	abandoné
abren	abrí
anuncian	anuncié
apoyan	apoyé
asisten	asistí
averiguan	averigüé
buscan	busqué
caen	caí
cambian	cambié
cierran	cerré
confían	confié
controlan	controlé
corren	corrí
crecen	crecí
definen	definí
desarrollan	desarrollé
dirigen	dirigí
eligen	elegí
examinan	examiné
fallan	fallé
financian	financié
formulan	formulé
gestionan	gestioné
identifican	identifiqué
incluyen	incluí
invierten	invertí
limpian	limpié
llaman	llamé
mantienen	mantuve
mencionan	mencioné
olvidan	olvidé
organizan	organicé
pagan	pagué
participan	participé
prestan	presté
proveen	proveí
quedan	quedé
reciben	recibí
recuperan	recuperé
reemplazan	reemplacé
refuerzan	reforcé
respetan	respeté
sacan	saqué
siguen	seguí
sientan	senté
sienten	sentí
toman	tomé
viajan	viajé
viven	viví
vuelven	volví
