accedéis	accedían
actuáis	actuaban
administráis	administraban
alcanzáis	alcanzaban
averiguáis	averiguaban
cerráis	cerraban
comenzáis	comenzaban
comprendéis	comprendían
comprobáis	comprobaban
conocéis	conocían
conserváis	conservaban
contribuís	contribuían
cortáis	cortaban
dais	daban
desarrolláis	desarrollaban
descubrís	descubrían
desempeñáis	desempeñaban
determináis	determinaban
discutís	discutían
ejecutáis	ejecutaban
elegís	elegían
escribís	escribían
explicáis	explicaban
falláis	fallaban
ganáis	ganaban
garantizáis	garantizaban
generáis	generaban
habláis	hablaban
hacéis	hacían
indicáis	indicaban
instaláis	instalaban
invertís	invertían
lleváis	llevaban
manejáis	manejaban
mantenéis	mantenían
mencionáis	mencionaban
mostráis	mostraban
observáis	observaban
olvidáis	olvidaban
paráis	paraban
partís	partían
permitís	permitían
podéis	podían
referís	referían
regresáis	regresaban
sacáis	sacaban
solicitáis	solicitaban
sufrís	sufrían
termináis	terminaban
vivís	vivían
