acelerado	aceleraremos
alcanzado	alcanzaremos
analizado	analizaremos
anunciado	anunciaremos
aumentado	aumentaremos
avanzado	avanzaremos
bebido	beberemos
caído	caeremos
caminado	caminaremos
completado	completaremos
comprendido	comprenderemos
consistido	consistiremos
consolidado	consolidaremos
coordinado	coordinaremos
corrido	correremos
cumplido	cumpliremos
desarrollado	desarrollaremos
discutido	discutiremos
ejecutado	ejecutaremos
elegido,electo	elegiremos
enfrentado	enfrentaremos
entrado	entraremos
enviado	enviaremos
existido	existiremos
explicado	explicaremos
firmado	firmaremos
formado	formaremos
ganado	ganaremos
habilitado	habilitaremos
incrementado	incrementaremos
investigado	investigaremos
manejado	manejaremos
ocurrido	ocurriremos
oído	oiremos
pedido	pediremos
permitido	permitiremos
podido	podremos
preguntado	preguntaremos
proporcionado	proporcionaremos
protegido	protegeremos
recordado	recordaremos
robado	robaremos
sentado	sentaremos
sentido	sentiremos
servido	serviremos
señalado	señalaremos
sugerido	sugeriremos
superado	superaremos
verificado	verificaremos
votado	votaremos
