adquiristeis	adquiriríamos
aprendisteis	aprenderíamos
aprobasteis	aprobaríamos
asumisteis	asumiríamos
caísteis	caeríamos
cantasteis	cantaríamos
cerrasteis	cerraríamos
comprobasteis	comprobaríamos
considerasteis	consideraríamos
cooperasteis	cooperaríamos
cuidasteis	cuidaríamos
defendisteis	defenderíamos
describisteis	describiríamos
encontrasteis	encontraríamos
enfrentasteis	enfrentaríamos
enseñasteis	enseñaríamos
establecisteis	estableceríamos
examinasteis	examinaríamos
habilitasteis	habilitaríamos
imaginasteis	imaginaríamos
implicasteis	implicaríamos
impusisteis	impondríamos
investigasteis	investigaríamos
fuisteis	iríamos
limitasteis	limitaríamos
llorasteis	lloraríamos
manejasteis	manejaríamos
mirasteis	miraríamos
modificasteis	modificaríamos
movisteis	moveríamos
operasteis	operaríamos
pagasteis	pagaríamos
pedisteis	pediríamos
pensasteis	pensaríamos
prestasteis	prestaríamos
produjisteis	produciríamos
recogisteis	recogeríamos
redujisteis	reduciríamos
relacionasteis	relacionaríamos
sacasteis	sacaríamos
satisficisteis	satisfaríamos
seleccionasteis	seleccionaríamos
sufristeis	sufriríamos
tuvisteis	tendríamos
trajisteis	traeríamos
unisteis	uniríamos
viajasteis	viajaríamos
vivisteis	viviríamos
volasteis	volaríamos
votasteis	votaríamos
