accedíamos	accederé
acelerábamos	aceleraré
aplicábamos	aplicaré
aprendíamos	aprenderé
atraíamos	atraeré
ayudábamos	ayudaré
buscábamos	buscaré
conducíamos	conduciré
confirmábamos	confirmaré
conocíamos	conoceré
controlábamos	controlaré
cooperábamos	cooperaré
cumplíamos	cumpliré
descubríamos	descubriré
designábamos	designaré
disfrutábamos	disfrutaré
dormíamos	dormiré
evadíamos	evadiré
evitábamos	evitaré
examinábamos	examinaré
formábamos	formaré
ganábamos	ganaré
generábamos	generaré
incluíamos	incluiré
informábamos	informaré
integrábamos	integraré
intentábamos	intentaré
íbamos	iré
medíamos	mediré
mencionábamos	mencionaré
mirábamos	miraré
modificábamos	modificaré
mostrábamos	mostraré
ocurríamos	ocurriré
preservábamos	preservaré
proporcionábamos	proporcionaré
proveíamos	proveeré
referíamos	referiré
requeríamos	requeriré
robábamos	robaré
rompíamos	romperé
salíamos	saldré
éramos	seré
trabajábamos	trabajaré
tratábamos	trataré
vendíamos	venderé
veníamos	vendré
verificábamos	verificaré
visitábamos	visitaré
volábamos	volaré
