acordaba	acordarán
aprendía	aprenderán
aumentaba	aumentarán
bailaba	bailarán
caía	caerán
causaba	causarán
cerraba	cerrarán
comenzaba	comenzarán
compraba	comprarán
comprobaba	comprobarán
conservaba	conservarán
controlaba	controlarán
crecía	crecerán
cubría	cubrirán
dejaba	dejarán
descargaba	descargarán
descubría	descubrirán
designaba	designarán
dirigía	dirigirán
entraba	entrarán
estudiaba	estudiarán
evadía	evadirán
evitaba	evitarán
expresaba	expresarán
hablaba	hablarán
incluía	incluirán
incorporaba	incorporarán
incrementaba	incrementarán
indicaba	indicarán
intentaba	intentarán
investigaba	investigarán
llevaba	llevarán
ofrecía	ofrecerán
operaba	operarán
pagaba	pagarán
paraba	pararán
pasaba	pasarán
permitía	permitirán
prestaba	prestarán
prevenía	prevendrán
producía	producirán
protegía	protegerán
proveía	proveerán
recordaba	recordarán
representaba	representarán
resolvía	resolverán
salía	saldrán
sobrevivía	sobrevivirán
tenía	tendrán
volvía	volverán
