abordarías	abordaríamos
agradecerías	agradeceríamos
alentarías	alentaríamos
aprovecharías	aprovecharíamos
asumirías	asumiríamos
atraerías	atraeríamos
avanzarías	avanzaríamos
ayudarías	ayudaríamos
buscarías	buscaríamos
consolidarías	consolidaríamos
crecerías	creceríamos
dirías	diríamos
defenderías	defenderíamos
descubrirías	descubriríamos
desempeñarías	desempeñaríamos
designarías	designaríamos
determinarías	determinaríamos
discutirías	discutiríamos
disfrutarías	disfrutaríamos
ejercerías	ejerceríamos
escribirías	escribiríamos
evitarías	evitaríamos
facilitarías	facilitaríamos
firmarías	firmaríamos
formularías	formularíamos
garantizarías	garantizaríamos
gestionarías	gestionaríamos
hablarías	hablaríamos
harías	haríamos
iniciarías	iniciaríamos
intentarías	intentaríamos
llorarías	lloraríamos
morirías	moriríamos
ofrecerías	ofreceríamos
parecerías	pareceríamos
prestarías	prestaríamos
probarías	probaríamos
producirías	produciríamos
publicarías	publicaríamos
reconocerías	reconoceríamos
recuperarías	recuperaríamos
reemplazarías	reemplazaríamos
relacionarías	relacionaríamos
respetarías	respetaríamos
responderías	responderíamos
salvarías	salvaríamos
seguirías	seguiríamos
sumarías	sumaríamos
traerías	traeríamos
volarías	volaríamos
