abandonó	abandonarías
abrió	abrirías
adquirió	adquirirías
amplió	ampliarías
apareció	aparecerías
apoyó	apoyarías
asumió	asumirías
causó	causarías
cerró	cerrarías
compartió	compartirías
completó	completarías
compró	comprarías
contó	contarías
corrió	correrías
dijo	dirías
desarrolló	desarrollarías
desempeñó	desempeñarías
destacó	destacarías
enfrentó	enfrentarías
esperó	esperarías
estuvo	estarías
evitó	evitarías
existió	existirías
facilitó	facilitarías
falló	fallarías
formuló	formularías
incorporó	incorporarías
incrementó	incrementarías
instaló	instalarías
involucró	involucrarías
jugó	jugarías
lloró	llorarías
manejó	manejarías
olvidó	olvidarías
operó	operarías
perdió	perderías
puso	pondrías
preparó	prepararías
produjo	producirías
recogió	recogerías
relacionó	relacionarías
rompió	romperías
salió	saldrías
satisfizo	satisfarías
fue	serías
soportó	soportarías
terminó	terminarías
vio	verías
visitó	visitarías
vivió	vivirías
