abandono	abandonaron
abro	abrieron
acepto	aceptaron
acuerdo	acordaron
amplío	ampliaron
analizo	analizaron
aplico	aplicaron
aprovecho	aprovecharon
completo	completaron
compro	compraron
considero	consideraron
consulto	consultaron
contribuyo	contribuyeron
coopero	cooperaron
descargo	descargaron
describo	describieron
encuentro	encontraron
entiendo	entendieron
escucho	escucharon
establezco	establecieron
estoy	estuvieron
evado	evadieron
examino	examinaron
expreso	expresaron
facilito	facilitaron
firmo	firmaron
funciono	funcionaron
habilito	habilitaron
hablo	hablaron
implico	implicaron
indico	indicaron
intento	intentaron
introduzco	introdujeron
invierto	invirtieron
mato	mataron
mido	midieron
modifico	modificaron
parto	partieron
pierdo	perdieron
pregunto	preguntaron
preparo	prepararon
reconozco	reconocieron
represento	representaron
robo	robaron
sigo	siguieron
siento	sentaron
sobrevivo	sobrevivieron
sufro	sufrieron
traigo	trajeron
voto	votaron
