abordé	abordaste
amplié	ampliaste
animé	animaste
atraje	atrajiste
bebí	bebiste
caí	caíste
caminé	caminaste
casé	casaste
combatí	combatiste
comencé	comenzaste
confié	confiaste
confirmé	confirmaste
conseguí	conseguiste
definí	definiste
descargué	descargaste
describí	describiste
disfruté	disfrutaste
dormí	dormiste
enfrenté	enfrentaste
estuve	estuviste
examiné	examinaste
expliqué	explicaste
exploré	exploraste
financié	financiaste
firmé	firmaste
incorporé	incorporaste
intenté	intentaste
investigué	investigaste
leí	leíste
llamé	llamaste
llevé	llevaste
manejé	manejaste
moví	moviste
operé	operaste
organicé	organizaste
pagué	pagaste
promocioné	promocionaste
realicé	realizaste
reduje	redujiste
reemplacé	reemplazaste
representé	representaste
requerí	requeriste
resolví	resolviste
seguí	seguiste
sumé	sumaste
superé	superaste
supervisé	supervisaste
tomé	tomaste
traje	trajiste
verifiqué	verificaste
