administraban	administrarás
alentaban	alentarás
asistían	asistirás
atraían	atraerás
avanzaban	avanzarás
comenzaban	comenzarás
completaban	completarás
confirmaban	confirmarás
consistían	consistirás
contribuían	contribuirás
corrían	correrás
crecían	crecerás
cuidaban	cuidarás
cumplían	cumplirás
decían	dirás
detenían	detendrás
determinaban	determinarás
ejecutaban	ejecutarás
elegían	elegirás
exploraban	explorarás
garantizaban	garantizarás
gastaban	gastarás
gestionaban	gestionarás
imaginaban	imaginarás
incrementaban	incrementarás
iniciaban	iniciarás
intentaban	intentarás
localizaban	localizarás
mataban	matarás
medían	medirás
observaban	observarás
ocurrían	ocurrirás
operaban	operarás
parecían	parecerás
pasaban	pasarás
perdían	perderás
prestaban	prestarás
proponían	propondrás
realizaban	realizarás
relacionaban	relacionarás
revisaban	revisarás
seguían	seguirás
soportaban	soportarás
sufrían	sufrirás
sumaban	sumarás
tocaban	tocarás
trataban	tratarás
unían	unirás
veían	verás
viajaban	viajarás
