abordabais	abordarán
actuabais	actuarán
alcanzabais	alcanzarán
asumíais	asumirán
aumentabais	aumentarán
ayudabais	ayudarán
bailabais	bailarán
caminabais	caminarán
consistíais	consistirán
consolidabais	consolidarán
coordinabais	coordinarán
creabais	crearán
descubríais	descubrirán
destruíais	destruirán
disfrutabais	disfrutarán
dormíais	dormirán
ejercíais	ejercerán
encontrabais	encontrarán
enseñabais	enseñarán
entendíais	entenderán
estabais	estarán
evitabais	evitarán
examinabais	examinarán
existíais	existirán
explicabais	explicarán
expresabais	expresarán
habilitabais	habilitarán
incrementabais	incrementarán
iniciabais	iniciarán
ibais	irán
limpiabais	limpiarán
llamabais	llamarán
necesitabais	necesitarán
olvidabais	olvidarán
producíais	producirán
protegíais	protegerán
recibíais	recibirán
reemplazabais	reemplazarán
referíais	referirán
regresabais	regresarán
relacionabais	relacionarán
resolvíais	resolverán
sabíais	sabrán
seguíais	seguirán
sobrevivíais	sobrevivirán
solicitabais	solicitarán
supervisabais	supervisarán
teníais	tendrán
terminabais	terminarán
usabais	usarán
