abrimos	abriría
administramos	administraría
adquirimos	adquiriría
asumimos	asumiría
aumentamos	aumentaría
ayudamos	ayudaría
añadimos	añadiría
cantamos	cantaría
casamos	casaría
celebramos	celebraría
cerramos	cerraría
confiamos	confiaría
construimos	construiría
continuamos	continuaría
convertimos	convertiría
cortamos	cortaría
cubrimos	cubriría
dejamos	dejaría
desempeñamos	desempeñaría
elaboramos	elaboraría
enseñamos	enseñaría
entendimos	entendería
entramos	entraría
escapamos	escaparía
estudiamos	estudiaría
evaluamos	evaluaría
fallamos	fallaría
formamos	formaría
formulamos	formularía
ganamos	ganaría
hablamos	hablaría
identificamos	identificaría
indicamos	indicaría
fuimos	iría
manejamos	manejaría
mencionamos	mencionaría
ocurrimos	ocurriría
parecimos	parecería
pensamos	pensaría
preparamos	prepararía
presentamos	presentaría
promovimos	promovería
protegimos	protegería
redujimos	reduciría
regresamos	regresaría
supimos	sabría
servimos	serviría
unimos	uniría
viajamos	viajaría
volvimos	volvería
