aborda	abordaríamos
abre	abriríamos
adquiere	adquiriríamos
agradece	agradeceríamos
apoya	apoyaríamos
aprende	aprenderíamos
asiste	asistiríamos
atiende	atenderíamos
ayuda	ayudaríamos
concluye	concluiríamos
conduce	conduciríamos
crea	crearíamos
cuida	cuidaríamos
decide	decidiríamos
desarrolla	desarrollaríamos
describe	describiríamos
dirige	dirigiríamos
discute	discutiríamos
elabora	elaboraríamos
envía	enviaríamos
establece	estableceríamos
impone	impondríamos
incorpora	incorporaríamos
incrementa	incrementaríamos
introduce	introduciríamos
limita	limitaríamos
llama	llamaríamos
lleva	llevaríamos
mantiene	mantendríamos
ofrece	ofreceríamos
organiza	organizaríamos
participa	participaríamos
permite	permitiríamos
presenta	presentaríamos
provee	proveeríamos
reconoce	reconoceríamos
recupera	recuperaríamos
refuerza	reforzaríamos
resuelve	resolveríamos
revisa	revisaríamos
roba	robaríamos
selecciona	seleccionaríamos
siente	sentiríamos
es	seríamos
señala	señalaríamos
solicita	solicitaríamos
usa	usaríamos
ve	veríamos
verifica	verificaríamos
vota	votaríamos
