abría	abriste
aceptaba	aceptaste
apoyaba	apoyaste
aprendía	aprendiste
aprovechaba	aprovechaste
asistía	asististe
aumentaba	aumentaste
buscaba	buscaste
confirmaba	confirmaste
conservaba	conservaste
continuaba	continuaste
cooperaba	cooperaste
cubría	cubriste
descargaba	descargaste
desempeñaba	desempeñaste
destruía	destruiste
detenía	detuviste
ejecutaba	ejecutaste
enseñaba	enseñaste
enviaba	enviaste
escuchaba	escuchaste
fallaba	fallaste
financiaba	financiaste
generaba	generaste
habilitaba	habilitaste
indicaba	indicaste
jugaba	jugaste
leía	leíste
llegaba	llegaste
luchaba	luchaste
manejaba	manejaste
mantenía	mantuviste
mataba	mataste
mejoraba	mejoraste
obtenía	obtuviste
pensaba	pensaste
permanecía	permaneciste
prestaba	prestaste
probaba	probaste
producía	produjiste
promovía	promoviste
proporcionaba	proporcionaste
protegía	protegiste
regresaba	regresaste
relacionaba	relacionaste
representaba	representaste
requería	requeriste
robaba	robaste
solicitaba	solicitaste
viajaba	viajaste
