alcanzado	alcanzarán
alentado	alentarán
ampliado	ampliarán
anunciado	anunciarán
aplicado	aplicarán
avanzado	avanzarán
cantado	cantarán
casado	casarán
comido	comerán
concluido	concluirán
considerado	considerarán
consultado	consultarán
contado	contarán
controlado	controlarán
coordinado	coordinarán
crecido	crecerán
cubierto	cubrirán
dicho	dirán
definido	definirán
dejado	dejarán
desempeñado	desempeñarán
ejercido	ejercerán
elegido,electo	elegirán
empezado	empezarán
escapado	escaparán
existido	existirán
financiado	financiarán
fomentado	fomentarán
fortalecido	fortalecerán
gastado	gastarán
iniciado	iniciarán
ido	irán
llevado	llevarán
llorado	llorarán
mencionado	mencionarán
muerto	morirán
ofrecido	ofrecerán
parecido	parecerán
pensado	pensarán
preparado	prepararán
probado	probarán
relacionado	relacionarán
salvado	salvarán
satisfecho	satisfarán
sentado	sentarán
señalado	señalarán
terminado	terminarán
tratado	tratarán
vendido	venderán
volado	volarán
