administrábamos	administraron
agradecíamos	agradecieron
alentábamos	alentaron
anunciábamos	anunciaron
aprobábamos	aprobaron
ayudábamos	ayudaron
comprábamos	compraron
consolidábamos	consolidaron
consultábamos	consultaron
cooperábamos	cooperaron
cuidábamos	cuidaron
defendíamos	defendieron
dejábamos	dejaron
demostrábamos	demostraron
descubríamos	descubrieron
designábamos	designaron
deteníamos	detuvieron
empezábamos	empezaron
entrábamos	entraron
evaluábamos	evaluaron
facilitábamos	facilitaron
fallábamos	fallaron
financiábamos	financiaron
generábamos	generaron
guardábamos	guardaron
hacíamos	hicieron
imaginábamos	imaginaron
iniciábamos	iniciaron
invertíamos	invirtieron
limpiábamos	limpiaron
llegábamos	llegaron
modificábamos	modificaron
movíamos	movieron
olvidábamos	olvidaron
parábamos	pararon
preguntábamos	preguntaron
reducíamos	redujeron
referíamos	refirieron
revisábamos	revisaron
sabíamos	supieron
sentíamos	sintieron
éramos	fueron
sufríamos	sufrieron
sugeríamos	sugirieron
teníamos	tuvieron
uníamos	unieron
usábamos	usaron
veíamos	vieron
verificábamos	verificaron
volvíamos	volvieron
