acordaba	acordábamos
administraba	administrábamos
aprobaba	aprobábamos
aumentaba	aumentábamos
avanzaba	avanzábamos
añadía	añadíamos
comenzaba	comenzábamos
compraba	comprábamos
consistía	consistíamos
construía	construíamos
cumplía	cumplíamos
decía	decíamos
definía	definíamos
dependía	dependíamos
destacaba	destacábamos
destruía	destruíamos
dirigía	dirigíamos
empezaba	empezábamos
escribía	escribíamos
escuchaba	escuchábamos
estudiaba	estudiábamos
existía	existíamos
expresaba	expresábamos
facilitaba	facilitábamos
firmaba	firmábamos
había	habíamos
habilitaba	habilitábamos
incorporaba	incorporábamos
jugaba	jugábamos
limitaba	limitábamos
llegaba	llegábamos
lloraba	llorábamos
mantenía	manteníamos
movía	movíamos
observaba	observábamos
parecía	parecíamos
partía	partíamos
reemplazaba	reemplazábamos
requería	requeríamos
robaba	robábamos
sabía	sabíamos
satisfacía	satisfacíamos
servía	servíamos
supervisaba	supervisábamos
trabajaba	trabajábamos
unía	uníamos
utilizaba	utilizábamos
veía	veíamos
verificaba	verificábamos
vivía	vivíamos
