abandono	abandonará
acuerdo	acordará
adquiero	adquirirá
amplío	ampliará
aplico	aplicará
averiguo	averiguará
añado	añadirá
caso	casará
causo	causará
convierto	convertirá
demuestro	demostrará
desempeño	desempeñará
destruyo	destruirá
determino	determinará
enseño	enseñará
escucho	escuchará
existo	existirá
firmo	firmará
fomento	fomentará
fortalezco	fortalecerá
gestiono	gestionará
identifico	identificará
intento	intentará
invierto	invertirá
leo	leerá
llego	llegará
logro	logrará
manejo	manejará
mato	matará
miro	mirará
muevo	moverá
olvido	olvidará
pago	pagará
parezco	parecerá
parto	partirá
pienso	pensará
presento	presentará
pruebo	probará
recupero	recuperará
represento	representará
salgo	saldrá
salvo	salvará
sigo	seguirá
soy	será
solicito	solicitará
superviso	supervisará
tomo	tomará
trato	tratará
uso	usará
utilizo	utilizará
