alientas/alentás	alentará
anuncias/anunciás	anunciará
aprovechas/aprovechás	aprovechará
completas/completás	completará
compras/comprás	comprará
conduces/conducís	conducirá
confirmas/confirmás	confirmará
contienes/contenés	contendrá
continúas/continuás	continuará
conviertes/convertís	convertirá
crees/creés	creerá
cuidas/cuidás	cuidará
dices/decís	dirá
defiendes/defendés	defenderá
descubres/descubrís	descubrirá
designas/designás	designará
discutes/discutís	discutirá
ejecutas/ejecutás	ejecutará
eliges/elegís	elegirá
encuentras/encontrás	encontrará
entiendes/entendés	entenderá
envías/enviás	enviará
escuchas/escuchás	escuchará
estudias/estudiás	estudiará
evitas/evitás	evitará
existes/existís	existirá
facilitas/facilitás	facilitará
fallas/fallás	fallará
habilitas/habilitás	habilitará
impides/impedís	impedirá
incorporas/incorporás	incorporará
incrementas/incrementás	incrementará
investigas/investigás	investigará
logras/lográs	logrará
manejas/manejás	manejará
mantienes/mantenés	mantendrá
mueves/movés	moverá
obtienes/obtenés	obtendrá
operas/operás	operará
permites/permitís	permitirá
puedes/podés	podrá
pones/ponés	pondrá
presentas/presentás	presentará
prestas/prestás	prestará
produces/producís	producirá
publicas/publicás	publicará
satisfaces/satisfacés	satisfará
sufres/sufrís	sufrirá
superas/superás	superará
visitas/visitás	visitará
