actuaban	actuaría
administraban	administraría
adquirían	adquiriría
animaban	animaría
anunciaban	anunciaría
aparecían	aparecería
aseguraban	aseguraría
asistían	asistiría
asumían	asumiría
avanzaban	avanzaría
buscaban	buscaría
caían	caería
comenzaban	comenzaría
completaban	completaría
comprendían	comprendería
confirmaban	confirmaría
consistían	consistiría
continuaban	continuaría
corrían	correría
cuidaban	cuidaría
defendían	defendería
dependían	dependería
dirigían	dirigiría
discutían	discutiría
empezaban	empezaría
enviaban	enviaría
evaluaban	evaluaría
facilitaban	facilitaría
gestionaban	gestionaría
imponían	impondría
integraban	integraría
investigaban	investigaría
limpiaban	limpiaría
llegaban	llegaría
lloraban	lloraría
mataban	mataría
olvidaban	olvidaría
paraban	pararía
probaban	probaría
realizaban	realizaría
recogían	recogería
reemplazaban	reemplazaría
regresaban	regresaría
relacionaban	relacionaría
sentían	sentiría
servían	serviría
soportaban	soportaría
sugerían	sugeriría
verificaban	verificaría
volvían	volvería
