accederás	accederías
adoptarás	adoptarías
agradecerás	agradecerías
alentarás	alentarías
analizarás	analizarías
aprenderás	aprenderías
bailarás	bailarías
casarás	casarías
causarás	causarías
concluirás	concluirías
conducirás	conducirías
conservarás	conservarías
contribuirás	contribuirías
coordinarás	coordinarías
crearás	crearías
crecerás	crecerías
creerás	creerías
dependerás	dependerías
destacarás	destacarías
detendrás	detendrías
disfrutarás	disfrutarías
enfrentarás	enfrentarías
esperarás	esperarías
explorarás	explorarías
fortalecerás	fortalecerías
garantizarás	garantizarías
generarás	generarías
hablarás	hablarías
incrementarás	incrementarías
informarás	informarías
invertirás	invertirías
involucrarás	involucrarías
medirás	medirías
mencionarás	mencionarías
necesitarás	necesitarías
ocurrirás	ocurrirías
ofrecerás	ofrecerías
perderás	perderías
permanecerás	permanecerías
presentarás	presentarías
preservarás	preservarías
probarás	probarías
recuperarás	recuperarías
reducirás	reducirías
regresarás	regresarías
serás	serías
soportarás	soportarías
sumarás	sumarías
supervisarás	supervisarías
trabajarás	trabajarías
