abandonas/abandonás	abandonaríamos
accedes/accedés	accederíamos
actúas/actuás	actuaríamos
alientas/alentás	alentaríamos
asumes/asumís	asumiríamos
bebes/bebés	beberíamos
causas/causás	causaríamos
cierras/cerrás	cerraríamos
completas/completás	completaríamos
consideras/considerás	consideraríamos
contienes/contenés	contendríamos
contribuyes/contribuís	contribuiríamos
controlas/controlás	controlaríamos
coordinas/coordinás	coordinaríamos
creces/crecés	creceríamos
cumples/cumplís	cumpliríamos
das	daríamos
detienes/detenés	detendríamos
discutes/discutís	discutiríamos
ejecutas/ejecutás	ejecutaríamos
elaboras/elaborás	elaboraríamos
entras/entrás	entraríamos
escapas/escapás	escaparíamos
ganas/ganás	ganaríamos
gastas/gastás	gastaríamos
hablas/hablás	hablaríamos
limpias/limpiás	limpiaríamos
lloras/llorás	lloraríamos
luchas/luchás	lucharíamos
matas/matás	mataríamos
mencionas/mencionás	mencionaríamos
obtienes/obtenés	obtendríamos
pides/pedís	pediríamos
preguntas/preguntás	preguntaríamos
preservas/preservás	preservaríamos
produces/producís	produciríamos
promueves/promovés	promoveríamos
realizas/realizás	realizaríamos
recibes/recibís	recibiríamos
reconoces/reconocés	reconoceríamos
regresas/regresás	regresaríamos
representas/representás	representaríamos
respondes/respondés	responderíamos
sigues/seguís	seguiríamos
supervisas/supervisás	supervisaríamos
tienes/tenés	tendríamos
tocas/tocás	tocaríamos
unes/unís	uniríamos
vienes/venís	vendríamos
vuelves/volvés	volveríamos
