acuerdan	acordábamos
adquieren	adquiríamos
agradecen	agradecíamos
aprueban	aprobábamos
aprovechan	aprovechábamos
asisten	asistíamos
atienden	atendíamos
buscan	buscábamos
cambian	cambiábamos
confían	confiábamos
consiguen	conseguíamos
conservan	conservábamos
consideran	considerábamos
construyen	construíamos
coordinan	coordinábamos
cortan	cortábamos
crean	creábamos
cuidan	cuidábamos
duermen	dormíamos
entran	entrábamos
evaden	evadíamos
evalúan	evaluábamos
generan	generábamos
gestionan	gestionábamos
informan	informábamos
inician	iniciábamos
invierten	invertíamos
involucran	involucrábamos
localizan	localizábamos
logran	lográbamos
mueven	movíamos
organizan	organizábamos
parten	partíamos
pasan	pasábamos
permanecen	permanecíamos
ponen	poníamos
preguntan	preguntábamos
presentan	presentábamos
prestan	prestábamos
previenen	preveníamos
producen	producíamos
promocionan	promocionábamos
promueven	promovíamos
salen	salíamos
señalan	señalábamos
soportan	soportábamos
suman	sumábamos
terminan	terminábamos
unen	uníamos
vienen	veníamos
