accediste	accederías
acordaste	acordarías
adoptaste	adoptarías
alcanzaste	alcanzarías
alentaste	alentarías
ampliaste	ampliarías
anunciaste	anunciarías
apareciste	aparecerías
aprendiste	aprenderías
aseguraste	asegurarías
asumiste	asumirías
atrajiste	atraerías
comiste	comerías
completaste	completarías
compraste	comprarías
concluiste	concluirías
conociste	conocerías
conservaste	conservarías
consististe	consistirías
contuviste	contendrías
continuaste	continuarías
descubriste	descubrirías
disfrutaste	disfrutarías
encontraste	encontrarías
entendiste	entenderías
escuchaste	escucharías
estableciste	establecerías
examinaste	examinarías
financiaste	financiarías
fomentaste	fomentarías
garantizaste	garantizarías
informaste	informarías
intentaste	intentarías
invertiste	invertirías
mejoraste	mejorarías
mostraste	mostrarías
pediste	pedirías
pudiste	podrías
preguntaste	preguntarías
preservaste	preservarías
protegiste	protegerías
proveíste	proveerías
relacionaste	relacionarías
representaste	representarías
respetaste	respetarías
robaste	robarías
satisficiste	satisfarías
solicitaste	solicitarías
tomaste	tomarías
volaste	volarías
