abandonaba	abandonaban
administraba	administraban
animaba	animaban
aprendía	aprendían
atendía	atendían
bebía	bebían
buscaba	buscaban
causaba	causaban
cerraba	cerraban
confiaba	confiaban
confirmaba	confirmaban
conseguía	conseguían
consultaba	consultaban
contenía	contenían
coordinaba	coordinaban
defendía	defendían
definía	definían
descargaba	descargaban
elegía	elegían
enfrentaba	enfrentaban
entendía	entendían
escuchaba	escuchaban
esperaba	esperaban
estaba	estaban
evitaba	evitaban
existía	existían
facilitaba	facilitaban
formaba	formaban
informaba	informaban
integraba	integraban
introducía	introducían
luchaba	luchaban
mostraba	mostraban
movía	movían
necesitaba	necesitaban
observaba	observaban
pasaba	pasaban
pedía	pedían
preguntaba	preguntaban
prestaba	prestaban
reducía	reducían
reforzaba	reforzaban
relacionaba	relacionaban
respetaba	respetaban
señalaba	señalaban
terminaba	terminaban
tocaba	tocaban
unía	unían
usaba	usaban
venía	venían
