acordando	acordaréis
animando	animaréis
avanzando	avanzaréis
combatiendo	combatiréis
comenzando	comenzaréis
comprendiendo	comprenderéis
confiando	confiaréis
considerando	consideraréis
contribuyendo	contribuiréis
convirtiendo	convertiréis
coordinando	coordinaréis
cortando	cortaréis
dando	daréis
dependiendo	dependeréis
descargando	descargaréis
desempeñando	desempeñaréis
dirigiendo	dirigiréis
escuchando	escucharéis
evaluando	evaluaréis
examinando	examinaréis
funcionando	funcionaréis
habilitando	habilitaréis
incluyendo	incluiréis
indicando	indicaréis
iniciando	iniciaréis
involucrando	involucraréis
limpiando	limpiaréis
llamando	llamaréis
manejando	manejaréis
matando	mataréis
mejorando	mejoraréis
obteniendo	obtendréis
poniendo	pondréis
preparando	prepararéis
prestando	prestaréis
probando	probaréis
promocionando	promocionaréis
proveyendo	proveeréis
reconociendo	reconoceréis
recuperando	recuperaréis
reemplazando	reemplazaréis
robando	robaréis
rompiendo	romperéis
saliendo	saldréis
siendo	seréis
superando	superaréis
teniendo	tendréis
tomando	tomaréis
uniendo	uniréis
volviendo	volveréis
