actuar	actuó
adoptar	adoptó
alentar	alentó
analizar	analizó
animar	animó
aplicar	aplicó
asistir	asistió
aumentar	aumentó
celebrar	celebró
completar	completó
comprar	compró
conducir	condujo
confirmar	confirmó
controlar	controló
desarrollar	desarrolló
desempeñar	desempeñó
destruir	destruyó
detener	detuvo
disfrutar	disfrutó
dormir	durmió
enseñar	enseñó
escribir	escribió
evitar	evitó
examinar	examinó
fallar	falló
fomentar	fomentó
fortalecer	fortaleció
ganar	ganó
gestionar	gestionó
guardar	guardó
habilitar	habilitó
hablar	habló
hacer	hizo
incorporar	incorporó
iniciar	inició
ir	fue
llamar	llamó
mostrar	mostró
obtener	obtuvo
ofrecer	ofreció
olvidar	olvidó
organizar	organizó
producir	produjo
recordar	recordó
saber	supo
tocar	tocó
tomar	tomó
unir	unió
usar	usó
ver	vio
