abordaba	abordasteis
aceleraba	acelerasteis
aceptaba	aceptasteis
acordaba	acordasteis
adoptaba	adoptasteis
analizaba	analizasteis
aplicaba	aplicasteis
aprobaba	aprobasteis
aprovechaba	aprovechasteis
añadía	añadisteis
cantaba	cantasteis
compartía	compartisteis
concluía	concluisteis
conseguía	conseguisteis
conservaba	conservasteis
consultaba	consultasteis
contaba	contasteis
contenía	contuvisteis
coordinaba	coordinasteis
daba	disteis
decía	dijisteis
dormía	dormisteis
eliminaba	eliminasteis
escribía	escribisteis
estudiaba	estudiasteis
facilitaba	facilitasteis
firmaba	firmasteis
formaba	formasteis
ganaba	ganasteis
guardaba	guardasteis
imaginaba	imaginasteis
incluía	incluisteis
llamaba	llamasteis
manejaba	manejasteis
medía	medisteis
necesitaba	necesitasteis
oía	oísteis
ponía	pusisteis
preparaba	preparasteis
promovía	promovisteis
reconocía	reconocisteis
recordaba	recordasteis
recuperaba	recuperasteis
regresaba	regresasteis
revisaba	revisasteis
seleccionaba	seleccionasteis
era	fuisteis
soportaba	soportasteis
vivía	vivisteis
volaba	volasteis
